BUSDATA_ID,DEAL_TYPE,DEAL_SEQ_NUM,DEAL_TIME,SAM_CODE,CITY_CODE,BUSINESS_CODE,GRANT_CARD_CODE,CARD_TYPE,MONTH_TICKET_TYPE,LINE_CODE,VEHICLE_CODE,ON_STATION,OFF_STATION,DRIVER_CODE,CHECKER_CODE,VAL_FLAG,CREATEDATE,UPDATEDATE,BL_COMP_CODE,RUN_COMP_CODE,LOW_COMP_CODE,BUS_GROUP_CODE,GET_POINT_CODE,POS_CODE,UP_TIME
18310974747,0,7606,20160307053457,300031652,1000,7510,69141412,1,129,437,68143,12,12,6002599,0,,20160308210614,20160308210614,75101400,0,0,662,0,0,19700101010101
18309759106,6,987801303,20160307053506,100000757,1000,7510,69141412,1,129,437,68143,12,12,6002599,0,,20160308205608,20160308205608,75101300,0,0,1681,0,0,20160307053401
18304167646,0,3956784337,20160307053851,16012,1000,7510,6373993,1,129,437,68140,1,1,6002585,0,,20160308200840,20160308200840,75100600,0,0,1798,0,0,19700101010101
18311029344,0,7606,20160307053855,300031652,1000,7510,41346069,81,129,437,68143,12,12,6002599,0,,20160308210614,20160308210614,75101400,0,0,662,0,0,19700101010101
18304178176,0,3956784337,20160307053932,16012,1000,7510,79862892,1,129,437,68140,3,3,6002585,0,,20160308200840,20160308200840,75100600,0,0,1798,0,0,19700101010101
18304173207,0,3956784337,20160307054352,16012,1000,7510,66946502,1,129,437,68140,3,3,6002585,0,,20160308200840,20160308200840,75100600,0,0,1798,0,0,19700101010101
18311035271,0,7606,20160307055031,300031652,1000,7510,70267474,6,129,437,68143,11,11,6002599,0,,20160308210614,20160308210614,75101400,0,0,662,0,0,19700101010101
18309744460,6,987801304,20160307055112,100000757,1000,7510,41346069,81,129,437,68143,12,11,6002599,0,,20160308205608,20160308205608,75101300,0,0,1681,0,0,20160307053801
18304177444,0,8714,20160307055229,15563,1000,7511,17508931,1,129,437,68141,13,13,6002489,0,,20160308200840,20160308200840,75100600,0,0,1798,0,0,19700101010101
18304176214,0,8714,20160307055231,15563,1000,7510,78555454,1,129,437,68141,13,13,6002489,0,,20160308200840,20160308200840,75100600,0,0,1798,0,0,19700101010101
