BUSDATA_ID,DEAL_TYPE,DEAL_SEQ_NUM,DEAL_TIME,SAM_CODE,CITY_CODE,BUSINESS_CODE,GRANT_CARD_CODE,CARD_TYPE,MONTH_TICKET_TYPE,LINE_CODE,VEHICLE_CODE,ON_STATION,OFF_STATION,DRIVER_CODE,CHECKER_CODE,VAL_FLAG,CREATEDATE,UPDATEDATE,BL_COMP_CODE,RUN_COMP_CODE,LOW_COMP_CODE,BUS_GROUP_CODE,GET_POINT_CODE,POS_CODE,UP_TIME
18306954750,0,5515,20160307054314,300011029,1000,7511,16021925,1,86,118,95657,16,16,9000771,0,,20160308203119,20160308203119,75100800,0,0,520,0,0,19700101010101
18306936526,0,7544,20160307054506,300030780,1000,7510,20889932,1,86,118,95642,10,10,9000755,0,,20160308203119,20160308203119,75100800,0,0,520,0,0,19700101010101
18306975859,0,7544,20160307054508,300030780,1000,7510,82265638,1,86,118,95642,10,10,9000755,0,,20160308203119,20160308203119,75100800,0,0,520,0,0,19700101010101
18306957325,0,5996,20160307054537,100002040,1000,7510,80799541,1,86,118,95656,2,2,9000601,0,,20160308203119,20160308203119,75100800,0,0,520,0,0,19700101010101
18306983569,0,5996,20160307054539,100002040,1000,7510,1407408,1,86,118,95656,2,2,9000601,0,,20160308203119,20160308203119,75100800,0,0,520,0,0,19700101010101
18306944415,0,5996,20160307054542,100002040,1000,7510,46929576,1,86,118,95656,2,2,9000601,0,,20160308203119,20160308203119,75100800,0,0,520,0,0,19700101010101
18306945994,6,79292,20160307054640,300030765,1000,7510,4908509,1,0,118,95657,16,14,9000771,0,,20160308203119,20160308203119,75100800,0,0,520,0,0,20160307054301
18308253257,6,85479,20160307054647,13868,1000,7510,84347188,1,86,118,95646,12,2,9000720,0,,20160308204139,20160308204139,75100800,0,0,5384,0,0,20160307052501
18306943470,6,79293,20160307054657,300030765,1000,7510,64781028,1,86,118,95657,17,14,9000771,0,,20160308203119,20160308203119,75100800,0,0,520,0,0,20160307054201
18306937149,6,79294,20160307054700,300030765,1000,7511,16021925,1,86,118,95657,16,14,9000771,0,,20160308203119,20160308203119,75100800,0,0,520,0,0,20160307054301
18306976350,0,6968,20160307054720,300001099,1000,7510,41008550,81,86,118,95645,8,8,9000671,0,,20160308203119,20160308203119,75100800,0,0,520,0,0,19700101010101
18308294445,6,85480,20160307054806,13868,1000,7510,82038720,1,86,118,95646,18,2,9000720,0,,20160308204139,20160308204139,75100800,0,0,5384,0,0,20160307050701
18308284463,6,6523,20160307054850,200002565,1000,7510,31017976,1,86,118,95646,10,1,9000720,0,,20160308204139,20160308204139,75100800,0,0,5384,0,0,20160307052801
18306943319,0,5515,20160307054858,300011029,1000,7510,6277791,1,86,118,95657,13,13,9000771,0,,20160308203119,20160308203119,75100800,0,0,520,0,0,19700101010101
18308291929,6,6524,20160307054914,200002565,1000,7510,71103684,1,86,118,95646,7,1,9000720,0,,20160308204139,20160308204139,75100800,0,0,5384,0,0,20160307053401
18308252053,0,5094,20160307054947,300026953,1000,7510,16222160,1,86,118,95655,18,18,9000666,0,,20160308204139,20160308204139,75100800,0,0,5384,0,0,19700101010101
18308294881,0,5094,20160307054949,300026953,1000,7510,19347141,1,86,118,95655,18,18,9000666,0,,20160308204139,20160308204139,75100800,0,0,5384,0,0,19700101010101
