BUSDATA_ID,DEAL_TYPE,DEAL_SEQ_NUM,DEAL_TIME,SAM_CODE,CITY_CODE,BUSINESS_CODE,GRANT_CARD_CODE,CARD_TYPE,MONTH_TICKET_TYPE,LINE_CODE,VEHICLE_CODE,ON_STATION,OFF_STATION,DRIVER_CODE,CHECKER_CODE,VAL_FLAG,CREATEDATE,UPDATEDATE,BL_COMP_CODE,RUN_COMP_CODE,LOW_COMP_CODE,BUS_GROUP_CODE,GET_POINT_CODE,POS_CODE,UP_TIME
18306601230,0,9520,20160307053348,300010362,1000,7510,47080432,1,0,56,930041,1,1,9017229,0,,20160308203119,20160308203119,75100800,0,0,6408,0,0,19700101010101
18306592660,0,9520,20160307053350,300010362,1000,7510,74585018,1,0,56,930041,1,1,9017229,0,,20160308203119,20160308203119,75100800,0,0,6408,0,0,19700101010101
18307070267,0,9520,20160307053523,300010362,1000,7510,71139298,1,0,56,930041,1,1,9017229,0,,20160308203119,20160308203119,75100800,0,0,6408,0,0,19700101010101
18307052932,0,9520,20160307053525,300010362,1000,7510,75364171,1,0,56,930041,1,1,9017229,0,,20160308203119,20160308203119,75100800,0,0,6408,0,0,19700101010101
18307165054,0,9520,20160307053729,300010362,1000,7510,26244713,1,0,56,930041,2,2,9017229,0,,20160308203119,20160308203119,75100800,0,0,6408,0,0,19700101010101
18307072233,6,78621,20160307053912,200001182,1000,7510,75364171,1,0,56,930041,1,2,9017229,0,,20160308203119,20160308203119,75100800,0,0,6408,0,0,20160307053501
18308300428,0,10214,20160307054026,300009024,1000,7510,72433700,1,0,56,930058,15,15,9013364,0,,20160308204139,20160308204139,75100800,0,0,6408,0,0,19700101010101
18308296815,0,10214,20160307054028,300009024,1000,7510,36904214,1,0,56,930058,15,15,9013364,0,,20160308204139,20160308204139,75100800,0,0,6408,0,0,19700101010101
18308381107,0,10214,20160307054030,300009024,1000,7510,74119890,1,0,56,930058,15,15,9013364,0,,20160308204139,20160308204139,75100800,0,0,6408,0,0,19700101010101
18307464706,0,8260,20160307054246,300010043,1000,7510,88073189,1,0,56,930059,15,15,9013390,0,,20160308203627,20160308203627,75100800,0,0,6408,0,0,19700101010101
18307484657,185,8261,20160307054339,300010043,1000,7510,12517326,7,0,56,930059,0,14,9013390,0,,20160308203627,20160308203627,75100800,0,0,6408,0,0,19700101010101
18308371013,0,10214,20160307054402,300009024,1000,7510,78710258,1,0,56,930058,14,14,9013364,0,,20160308204139,20160308204139,75100800,0,0,6408,0,0,19700101010101
18308299095,0,10214,20160307054403,300009024,1000,7510,1485807,1,0,56,930058,14,14,9013364,0,,20160308204139,20160308204139,75100800,0,0,6408,0,0,19700101010101
18308370417,185,10215,20160307054404,300009024,1000,7510,12597298,7,0,56,930058,0,14,9013364,0,,20160308204139,20160308204139,75100800,0,0,6408,0,0,19700101010101
18308299950,0,10215,20160307054406,300009024,1000,7510,4691798,1,0,56,930058,14,14,9013364,0,,20160308204139,20160308204139,75100800,0,0,6408,0,0,19700101010101
18308378030,0,10215,20160307054407,300009024,1000,7510,35617696,1,0,56,930058,14,14,9013364,0,,20160308204139,20160308204139,75100800,0,0,6408,0,0,19700101010101
18308372681,0,10215,20160307054410,300009024,1000,7510,37202289,6,0,56,930058,14,14,9013364,0,,20160308204139,20160308204139,75100800,0,0,6408,0,0,19700101010101
18308297465,0,10215,20160307054412,300009024,1000,7510,998792,1,0,56,930058,14,14,9013364,0,,20160308204139,20160308204139,75100800,0,0,6408,0,0,19700101010101
18307049972,0,9520,20160307054412,300010362,1000,7510,12056014,6,0,56,930041,3,3,9017229,0,,20160308203119,20160308203119,75100800,0,0,6408,0,0,19700101010101
18307459830,0,8261,20160307054541,300010043,1000,7510,53005497,1,0,56,930059,14,14,9013390,0,,20160308203627,20160308203627,75100800,0,0,6408,0,0,19700101010101
18308302128,6,111124,20160307054543,10020001208,1000,7510,72433700,1,0,56,930058,15,12,9013364,0,,20160308204139,20160308204139,75100800,0,0,6408,0,0,20160307054001
18307479634,0,8261,20160307054547,300010043,1000,7511,11279273,1,0,56,930059,14,14,9013390,0,,20160308203627,20160308203627,75100800,0,0,6408,0,0,19700101010101
18307474288,6,86901,20160307054554,300014593,1000,7511,11279273,1,0,56,930059,14,13,9013390,0,,20160308203627,20160308203627,75100800,0,0,6408,0,0,20160307054501
18308374076,185,89539,20160307054605,100004211,1000,7510,12664059,7,0,56,930057,0,1,9013361,0,,20160308204139,20160308204139,75100800,0,0,6408,0,0,19700101010101
18308256785,185,87042,20160307054609,500001362,1000,7510,12732588,7,0,56,930055,0,1,9016920,0,,20160308204139,20160308204139,75100800,0,0,5384,0,0,19700101010101
18308299163,6,111125,20160307054624,10020001208,1000,7510,74119890,1,0,56,930058,15,12,9013364,0,,20160308204139,20160308204139,75100800,0,0,6408,0,0,20160307054001
18308371199,6,111126,20160307054633,10020001208,1000,7510,36904214,1,0,56,930058,15,12,9013364,0,,20160308204139,20160308204139,75100800,0,0,6408,0,0,20160307054001
18308303824,0,10215,20160307054727,300009024,1000,7510,18001339,19,0,56,930058,11,11,9013364,0,,20160308204139,20160308204139,75100800,0,0,6408,0,0,19700101010101
18308295199,185,111127,20160307054820,10020001208,1000,7510,12597298,7,0,56,930058,0,11,9013364,0,,20160308204139,20160308204139,75100800,0,0,6408,0,0,19700101010101
18308301398,6,111128,20160307054830,10020001208,1000,7510,998792,1,0,56,930058,14,11,9013364,0,,20160308204139,20160308204139,75100800,0,0,6408,0,0,20160307054401
18308374364,0,10215,20160307054919,300009024,1000,7510,18513283,1,0,56,930058,11,11,9013364,0,,20160308204139,20160308204139,75100800,0,0,6408,0,0,19700101010101
18307072078,6,78626,20160307054943,200001182,1000,7510,12056014,6,0,56,930041,3,5,9017229,0,,20160308203119,20160308203119,75100800,0,0,6408,0,0,20160307054401
18307097560,0,94,20160307055032,300028038,1000,7510,32323459,1,0,56,98174,3,3,9004383,0,,20160308203119,20160308203119,75100800,0,0,6408,0,0,19700101010101
18307097816,0,94,20160307055033,300028038,1000,7510,44802497,1,0,56,98174,3,3,9004383,0,,20160308203119,20160308203119,75100800,0,0,6408,0,0,19700101010101
