GRANT_CARD_CODE,ENTRY_NUM,EXIT_NUM,ENTRY_TIME,DEAL_TIME,ENTRY_STATION,EXIT_STATION
36071169,9067,9035,20160309050800,20160309055512,火器营,大红门
18109912,9067,210,20160309052000,20160309061605,火器营,北京站
17830044,9067,759,20160309052000,20160309063026,火器营,双合
74270822,9067,929,20160309052100,20160309055547,火器营,北京西站
33240762,9067,461,20160309052700,20160309061305,火器营,北京南站
13637351,9067,1027,20160309052800,20160309060155,火器营,三元桥
60194496,9067,1007,20160309052900,20160309053957,火器营,知春里
54054787,9067,823,20160309053300,20160309060800,火器营,森林公园南门
6140333,9067,423,20160309053700,20160309055835,火器营,北宫门
82865419,9067,1041,20160309053900,20160309063308,火器营,双井
53277425,9067,521,20160309054000,20160309062853,火器营,天通苑北
45895728,9067,1547,20160309054000,20160309063614,火器营,马泉营
49627804,9067,651,20160309054000,20160309063519,火器营,十里堡
16961187,9067,1545,20160309054000,20160309063316,火器营,崔各庄
13250719,9067,423,20160309054000,20160309060926,火器营,北宫门
66218350,9067,531,20160309054100,20160309061631,火器营,北苑路北
14618642,9067,1027,20160309054100,20160309061620,火器营,三元桥
81498423,9067,121,20160309054200,20160309062715,火器营,永安里
16596617,9067,9037,20160309054200,20160309062119,火器营,角门东
13738439,9067,9635,20160309054400,20160309065032,火器营,荣京东街
4091601,9067,120,20160309054400,20160309062600,火器营,建国门
18458708,9067,461,20160309054400,20160309063000,火器营,北京南站
87192435,9067,461,20160309054400,20160309062959,火器营,北京南站
86501336,9067,1027,20160309054600,20160309062056,火器营,三元桥
51237923,9067,563,20160309054700,20160309065832,火器营,刘家窑
62542642,9067,657,20160309054700,20160309065748,火器营,黄渠
15807620,9067,9635,20160309054700,20160309072010,火器营,荣京东街
12530226,9067,1351,20160309054800,20160309063145,火器营,东直门
12775756,9067,205,20160309054900,20160309063818,火器营,长椿街
12775734,9067,205,20160309054900,20160309063819,火器营,长椿街
88273963,9067,461,20160309055300,20160309064319,火器营,北京南站
81619551,9067,735,20160309055400,20160309064938,火器营,桥湾
14204677,9067,461,20160309055500,20160309064349,火器营,北京南站
71811308,9067,9523,20160309055600,20160309064656,火器营,大葆台
13818543,9067,1039,20160309060000,20160309065126,火器营,国贸
14003352,9067,213,20160309060000,20160309064629,火器营,东四十条
87098662,9067,741,20160309060000,20160309065631,火器营,广渠门外
14003353,9067,213,20160309060000,20160309064626,火器营,东四十条
53613711,9067,214,20160309060200,20160309065628,火器营,东直门
50325357,9067,1019,20160309060200,20160309062918,火器营,安贞门
87192891,9067,210,20160309060400,20160309065104,火器营,北京站
3205682,9067,425,20160309060500,20160309062908,火器营,西苑
71547823,9067,461,20160309060600,20160309065056,火器营,北京南站
36602045,9067,939,20160309060600,20160309063700,火器营,丰台南路
13219179,9067,655,20160309060700,20160309070039,火器营,褡裢坡
11024451,9067,735,20160309060800,20160309065915,火器营,桥湾
79473671,9067,731,20160309060900,20160309065134,火器营,虎坊桥
74023676,9067,1015,20160309060900,20160309062930,火器营,健德门
34644243,9067,1027,20160309061000,20160309065416,火器营,三元桥
74545358,9067,563,20160309061200,20160309070600,火器营,刘家窑
53202694,9067,725,20160309061200,20160309065139,火器营,达官营
83796643,9067,9035,20160309061200,20160309065503,火器营,大红门
2035816,9067,563,20160309061200,20160309070541,火器营,刘家窑
42857416,9067,929,20160309061500,20160309064321,火器营,北京西站
2359339,9067,1011,20160309061500,20160309063135,火器营,西土城
15341733,9067,455,20160309061600,20160309065323,火器营,宣武门
44122600,9067,823,20160309061700,20160309065553,火器营,森林公园南门
20150719,9067,1557,20160309061700,20160309073949,火器营,南法信
24882027,9067,645,20160309061700,20160309065227,火器营,东大桥
13553483,9067,9635,20160309061800,20160309072634,火器营,荣京东街
2592520,9067,1039,20160309061800,20160309070329,火器营,国贸
1967026,9067,449,20160309061900,20160309064734,火器营,西四
11462212,9067,935,20160309061900,20160309064721,火器营,七里庄
82663529,9067,1033,20160309062000,20160309070039,火器营,团结湖
63091262,9067,9637,20160309062000,20160309073407,火器营,荣昌东街
72800954,9067,433,20160309062100,20160309062953,火器营,海淀黄庄
47459811,9067,815,20160309062100,20160309070637,火器营,育新
45390406,9067,1335,20160309062100,20160309070100,火器营,回龙观
