GRANT_CARD_CODE,ENTRY_NUM,EXIT_NUM,ENTRY_TIME,DEAL_TIME,ENTRY_STATION,EXIT_STATION
14107701,9059,461,20160309051100,20160309055018,西钓鱼台,北京南站
16976849,9059,205,20160309051200,20160309054901,西钓鱼台,长椿街
16976850,9059,205,20160309051200,20160309054904,西钓鱼台,长椿街
43322920,9059,205,20160309051200,20160309054903,西钓鱼台,长椿街
86777597,9059,210,20160309051400,20160309055428,西钓鱼台,北京站
53359960,9059,125,20160309051600,20160309055802,西钓鱼台,四惠东
71588104,9059,9025,20160309053400,20160309064316,西钓鱼台,十里河
12439563,9059,210,20160309053500,20160309061628,西钓鱼台,北京站
24296406,9059,106,20160309054400,20160309060718,西钓鱼台,八宝山
6721094,9059,9023,20160309054500,20160309063333,西钓鱼台,潘家园
54056695,9059,9433,20160309054600,20160309070303,西钓鱼台,沙河
67709583,9059,533,20160309054600,20160309065703,西钓鱼台,大屯路东
12937035,9059,1341,20160309054700,20160309070044,西钓鱼台,北苑
65309799,9059,9523,20160309054800,20160309063721,西钓鱼台,大葆台
62203732,9059,9529,20160309054800,20160309065214,西钓鱼台,篱笆房
46389601,9059,9523,20160309054800,20160309063722,西钓鱼台,大葆台
62501964,9059,9529,20160309054800,20160309065219,西钓鱼台,篱笆房
15394877,9059,9035,20160309054900,20160309062303,西钓鱼台,大红门
78511412,9059,1027,20160309054900,20160309065108,西钓鱼台,三元桥
82601131,9059,1341,20160309054900,20160309072522,西钓鱼台,北苑
16281158,9059,1349,20160309055000,20160309065424,西钓鱼台,柳芳
88304960,9059,116,20160309055200,20160309061616,西钓鱼台,天安门西
10315435,9059,125,20160309055300,20160309063809,西钓鱼台,四惠东
60722016,9059,929,20160309055300,20160309061826,西钓鱼台,北京西站
72634518,9059,1347,20160309055400,20160309065214,西钓鱼台,光熙门
79821986,9059,124,20160309055400,20160309063623,西钓鱼台,四惠
72152552,9059,1027,20160309055500,20160309065032,西钓鱼台,三元桥
11702781,9059,217,20160309055500,20160309064229,西钓鱼台,鼓楼大街
12627013,9059,1011,20160309055500,20160309063324,西钓鱼台,西土城
44147499,9059,9025,20160309055500,20160309063959,西钓鱼台,十里河
53496038,9059,9335,20160309055600,20160309065852,西钓鱼台,黄村火车站
75728201,9059,1479,20160309055600,20160309070441,西钓鱼台,将台
54214788,9059,1005,20160309055600,20160309062738,西钓鱼台,海淀黄庄
72263024,9059,1003,20160309055800,20160309062525,西钓鱼台,苏州街
82339589,9059,124,20160309055900,20160309064503,西钓鱼台,四惠
18795455,9059,9639,20160309060000,20160309070822,西钓鱼台,同济南路
80855247,9059,821,20160309060000,20160309065813,西钓鱼台,林萃桥
84281002,9059,9423,20160309060100,20160309071917,西钓鱼台,昌平
3046987,9059,807,20160309060200,20160309071054,西钓鱼台,育知路
68830381,9059,121,20160309060300,20160309063726,西钓鱼台,永安里
7436578,9059,1327,20160309060300,20160309063659,西钓鱼台,五道口
46353137,9059,1011,20160309060400,20160309063321,西钓鱼台,西土城
49634424,9059,669,20160309060400,20160309071746,西钓鱼台,北运河西
16552195,9059,9341,20160309060500,20160309071403,西钓鱼台,天宫院
43878629,9059,9331,20160309060600,20160309070039,西钓鱼台,清源路
15055538,9059,1043,20160309060600,20160309065606,西钓鱼台,劲松
11106919,9059,9035,20160309060600,20160309064025,西钓鱼台,大红门
12692308,9059,1009,20160309060600,20160309063252,西钓鱼台,知春路
12684539,9059,1009,20160309060600,20160309063259,西钓鱼台,知春路
11368042,9059,461,20160309060600,20160309064249,西钓鱼台,北京南站
69329889,9059,657,20160309060700,20160309065638,西钓鱼台,黄渠
14008281,9059,9025,20160309060700,20160309065144,西钓鱼台,十里河
12686454,9059,1009,20160309060700,20160309063250,西钓鱼台,知春路
51888330,9059,9025,20160309060700,20160309065144,西钓鱼台,十里河
8480623,9059,1013,20160309060700,20160309064545,西钓鱼台,牡丹园
51320172,9059,9025,20160309060700,20160309065140,西钓鱼台,十里河
2217200,9059,533,20160309060800,20160309065121,西钓鱼台,大屯路东
12523976,9059,1029,20160309060800,20160309065313,西钓鱼台,亮马桥
7098308,9059,643,20160309060900,20160309063755,西钓鱼台,朝阳门
75728865,9059,123,20160309061100,20160309065317,西钓鱼台,大望路
71087136,9059,214,20160309061100,20160309065417,西钓鱼台,东直门
83057291,9059,421,20160309061100,20160309064741,西钓鱼台,安河桥北
43967610,9059,208,20160309061200,20160309064414,西钓鱼台,前门
54401065,9059,1011,20160309061200,20160309063828,西钓鱼台,西土城
86544480,9059,929,20160309061200,20160309063917,西钓鱼台,北京西站
87308499,9059,1019,20160309061300,20160309064905,西钓鱼台,安贞门
82182032,9059,933,20160309061300,20160309062513,西钓鱼台,六里桥
16553076,9059,1559,20160309061400,20160309074310,西钓鱼台,石门
79561819,9059,1015,20160309061500,20160309064243,西钓鱼台,健德门
89840531,9059,1009,20160309061500,20160309063815,西钓鱼台,知春路
66597770,9059,521,20160309061600,20160309071636,西钓鱼台,天通苑北
38941462,9059,9637,20160309061600,20160309072929,西钓鱼台,荣昌东街
45930479,9059,815,20160309061600,20160309071539,西钓鱼台,育新
79401331,9059,9033,20160309061600,20160309065338,西钓鱼台,石榴庄
12538468,9059,563,20160309061600,20160309070221,西钓鱼台,刘家窑
1295636,9059,9339,20160309061600,20160309072122,西钓鱼台,生物医药基地
72022413,9059,537,20160309061600,20160309065316,西钓鱼台,惠新西街南口
61985624,9059,9441,20160309061600,20160309065918,西钓鱼台,西二旗
45311733,9059,1013,20160309061600,20160309064505,西钓鱼台,牡丹园
70194223,9059,523,20160309061600,20160309071400,西钓鱼台,天通苑
17124708,9059,1423,20160309061700,20160309065752,西钓鱼台,园博园
12512539,9059,1429,20160309061700,20160309064350,西钓鱼台,大井
18521233,9059,1003,20160309061700,20160309063448,西钓鱼台,苏州街
49548127,9059,1559,20160309061700,20160309075349,西钓鱼台,石门
89928419,9059,1329,20160309061800,20160309065532,西钓鱼台,上地
49260644,9059,1011,20160309061900,20160309064223,西钓鱼台,西土城
17178007,9059,9023,20160309061900,20160309070544,西钓鱼台,潘家园
74985159,9059,9033,20160309062000,20160309065718,西钓鱼台,石榴庄
79201404,9059,541,20160309062000,20160309065845,西钓鱼台,和平里北街
31257870,9059,461,20160309062000,20160309065943,西钓鱼台,北京南站
63539645,9059,214,20160309062100,20160309070413,西钓鱼台,东直门
45390490,9059,9067,20160309062100,20160309064337,西钓鱼台,火器营
32202353,9059,461,20160309062100,20160309065929,西钓鱼台,北京南站
84888878,9059,537,20160309062100,20160309065834,西钓鱼台,惠新西街南口
75491910,9059,9031,20160309062200,20160309070021,西钓鱼台,宋家庄
20847134,9059,819,20160309062200,20160309070929,西钓鱼台,永泰庄
30657346,9059,9637,20160309062200,20160309072314,西钓鱼台,荣昌东街
6318835,9059,1007,20160309062300,20160309064333,西钓鱼台,知春里
52280273,9059,535,20160309062300,20160309070128,西钓鱼台,惠新西街北口
17042716,9059,735,20160309062300,20160309070351,西钓鱼台,桥湾
46912267,9059,1479,20160309062400,20160309073002,西钓鱼台,将台
80526485,9059,1019,20160309062400,20160309065619,西钓鱼台,安贞门
33640684,9059,1015,20160309062400,20160309065113,西钓鱼台,健德门
71375631,9059,9057,20160309062400,20160309063515,西钓鱼台,公主坟
12225234,9059,1431,20160309062400,20160309064853,西钓鱼台,七里庄
37216795,9059,1019,20160309062400,20160309065623,西钓鱼台,安贞门
12598987,9059,9637,20160309062400,20160309072800,西钓鱼台,荣昌东街
63467085,9059,1429,20160309062400,20160309065152,西钓鱼台,大井
1167454,9059,1007,20160309062400,20160309064248,西钓鱼台,知春里
50649995,9059,1039,20160309062400,20160309071811,西钓鱼台,国贸
21072060,9059,1537,20160309062500,20160309071713,西钓鱼台,关庄
84056101,9059,9635,20160309062500,20160309072614,西钓鱼台,荣京东街
12634688,9059,1015,20160309062500,20160309072201,西钓鱼台,健德门
19366885,9059,1005,20160309062500,20160309064546,西钓鱼台,海淀黄庄
39888770,9059,1027,20160309062500,20160309071016,西钓鱼台,三元桥
36517757,9059,1027,20160309062500,20160309071126,西钓鱼台,三元桥
