GRANT_CARD_CODE,ENTRY_NUM,EXIT_NUM,ENTRY_TIME,DEAL_TIME,ENTRY_STATION,EXIT_STATION
78605003,9065,124,20160311050600,20160311055628,长春桥,四惠
22425588,9065,9437,20160311051000,20160311062101,长春桥,朱辛庄
7216543,9065,9061,20160311051600,20160311052841,长春桥,慈寿寺
52353693,9065,9035,20160311051600,20160311055501,长春桥,大红门
31896103,9065,9025,20160311051700,20160311061310,长春桥,十里河
89367737,9065,9025,20160311051700,20160311061308,长春桥,十里河
12093771,9065,9033,20160311051700,20160311060359,长春桥,石榴庄
696951,9065,210,20160311051900,20160311060507,长春桥,北京站
88134177,9065,9035,20160311052200,20160311060711,长春桥,大红门
13751128,9065,625,20160311052300,20160311054420,长春桥,花园桥
16702865,9065,545,20160311052300,20160311060155,长春桥,北新桥
12333353,9065,1433,20160311052300,20160311054751,长春桥,西局
18472001,9065,929,20160311052400,20160311072112,长春桥,北京西站
75760125,9065,124,20160311052700,20160311061415,长春桥,四惠
11869729,9065,1007,20160311052900,20160311072529,长春桥,知春里
71416786,9065,1043,20160311053000,20160311062732,长春桥,劲松
39774372,9065,739,20160311053000,20160311062909,长春桥,广渠门内
82814610,9065,118,20160311053500,20160311060807,长春桥,王府井
88994309,9065,1561,20160311053800,20160311071019,长春桥,顺义
74750450,9065,115,20160311053900,20160311060413,长春桥,西单
46530476,9065,1043,20160311053900,20160311063554,长春桥,劲松
50728702,9065,9704,20160311054100,20160311064308,长春桥,传媒大学
18888567,9065,9704,20160311054100,20160311064307,长春桥,传媒大学
80281186,9065,9704,20160311054100,20160311064320,长春桥,传媒大学
67762855,9065,9704,20160311054100,20160311064309,长春桥,传媒大学
31940598,9065,9704,20160311054100,20160311064309,长春桥,传媒大学
42795874,9065,655,20160311054100,20160311063525,长春桥,褡裢坡
68894497,9065,425,20160311054200,20160311060645,长春桥,西苑
50671916,9065,9061,20160311054500,20160311055444,长春桥,慈寿寺
81991949,9065,929,20160311054500,20160311061707,长春桥,北京西站
50757303,9065,563,20160311054500,20160311063931,长春桥,刘家窑
51221763,9065,9625,20160311054600,20160311064424,长春桥,小红门
50410287,9065,467,20160311054700,20160311063021,长春桥,公益西桥
43337011,9065,1455,20160311054700,20160311064655,长春桥,方庄
16895734,9065,9625,20160311054800,20160311064431,长春桥,小红门
66026242,9065,1019,20160311055000,20160311061505,长春桥,安贞门
17188724,9065,425,20160311055200,20160311061535,长春桥,西苑
15567847,9065,1033,20160311055300,20160311064020,长春桥,团结湖
80340541,9065,541,20160311055400,20160311062637,长春桥,和平里北街
19424529,9065,9637,20160311055500,20160311070551,长春桥,荣昌东街
54136473,9065,119,20160311055500,20160311062904,长春桥,东单
65748825,9065,9637,20160311055500,20160311070545,长春桥,荣昌东街
12225188,9065,9637,20160311055600,20160311070606,长春桥,荣昌东街
69494641,9065,9637,20160311055600,20160311070556,长春桥,荣昌东街
953789,9065,1005,20160311055700,20160311061017,长春桥,海淀黄庄
10304055,9065,9711,20160311060000,20160311071603,长春桥,梨园
16480882,9065,9321,20160311060100,20160311065127,长春桥,新宫
80260172,9065,461,20160311060300,20160311064923,长春桥,北京南站
65065978,9065,1011,20160311060400,20160311062337,长春桥,西土城
74529221,9065,637,20160311060600,20160311063538,长春桥,北海北
23960365,9065,657,20160311060600,20160311065700,长春桥,黄渠
51287256,9065,9025,20160311060700,20160311070026,长春桥,十里河
17559797,9065,645,20160311060700,20160311064554,长春桥,东大桥
5141994,9065,207,20160311060700,20160311064209,长春桥,和平门
49734188,9065,122,20160311060700,20160311064929,长春桥,国贸
79960866,9065,210,20160311060900,20160311065413,长春桥,北京站
64244726,9065,1479,20160311060900,20160311071018,长春桥,将台
68903985,9065,9057,20160311061000,20160311062624,长春桥,公主坟
44816639,9065,9623,20160311061000,20160311070450,长春桥,肖村
35163990,9065,9341,20160311061000,20160311072343,长春桥,天宫院
79859587,9065,807,20160311061000,20160311071125,长春桥,育知路
1917643,9065,753,20160311061000,20160311071414,长春桥,南楼梓庄
63118730,9065,1027,20160311061100,20160311064733,长春桥,三元桥
65057327,9065,9341,20160311061100,20160311072828,长春桥,天宫院
86843801,9065,9049,20160311061100,20160311063308,长春桥,泥洼
60330924,9065,1029,20160311061100,20160311065739,长春桥,亮马桥
86545677,9065,535,20160311061200,20160311064444,长春桥,惠新西街北口
15372622,9065,653,20160311061200,20160311065729,长春桥,青年路
14002654,9065,1029,20160311061200,20160311065054,长春桥,亮马桥
50832142,9065,9523,20160311061200,20160311064734,长春桥,大葆台
12219718,9065,1043,20160311061200,20160311070803,长春桥,劲松
85030468,9065,1341,20160311061200,20160311070520,长春桥,北苑
19150293,9065,1043,20160311061200,20160311070801,长春桥,劲松
84259117,9065,1335,20160311061300,20160311065411,长春桥,回龙观
12370370,9065,1027,20160311061300,20160311065454,长春桥,三元桥
34811025,9065,1027,20160311061400,20160311065455,长春桥,三元桥
78485794,9065,1011,20160311061400,20160311063321,长春桥,西土城
50821344,9065,541,20160311061400,20160311064739,长春桥,和平里北街
27675653,9065,9023,20160311061400,20160311070645,长春桥,潘家园
74990500,9065,125,20160311061500,20160311071603,长春桥,四惠东
46890637,9065,931,20160311061500,20160311063959,长春桥,六里桥东
28863576,9065,9521,20160311061600,20160311065029,长春桥,郭公庄
