GRANT_CARD_CODE,ENTRY_NUM,EXIT_NUM,ENTRY_TIME,DEAL_TIME,ENTRY_STATION,EXIT_STATION
44648212,923,563,20160311052000,20160311060847,白石桥南,刘家窑
12524926,923,659,20160311052200,20160311061149,白石桥南,常营
14786629,923,9331,20160311052600,20160311062949,白石桥南,清源路
16896211,923,210,20160311052600,20160311055927,白石桥南,北京站
83826074,923,817,20160311053000,20160311062423,白石桥南,西小口
71589203,923,9523,20160311053000,20160311063758,白石桥南,大葆台
73164305,923,1039,20160311053100,20160311060938,白石桥南,国贸
46206576,923,931,20160311054000,20160311061343,白石桥南,六里桥东
26903446,923,441,20160311054300,20160311055601,白石桥南,动物园
1489005,923,1351,20160311054400,20160311062147,白石桥南,东直门
21184098,923,9341,20160311054600,20160311065528,白石桥南,天宫院
12603138,923,425,20160311054700,20160311060616,白石桥南,西苑
13184883,923,729,20160311055100,20160311062529,白石桥南,菜市口
17430621,923,651,20160311055100,20160311062235,白石桥南,十里堡
17430625,923,651,20160311055100,20160311062240,白石桥南,十里堡
18176837,923,651,20160311055100,20160311062235,白石桥南,十里堡
87787717,923,9531,20160311055100,20160311065405,白石桥南,广阳城
11713460,923,201,20160311055500,20160311061412,白石桥南,西直门
17845801,923,105,20160311055600,20160311062818,白石桥南,八角游乐园
82347669,923,9637,20160311055700,20160311071026,白石桥南,荣昌东街
45970304,923,9637,20160311055700,20160311071021,白石桥南,荣昌东街
12509925,923,927,20160311055800,20160311060652,白石桥南,军事博物馆
9157435,923,725,20160311055800,20160311061854,白石桥南,达官营
71605630,923,105,20160311055800,20160311062817,白石桥南,八角游乐园
62718235,923,929,20160311055900,20160311061036,白石桥南,北京西站
30263850,923,1421,20160311060000,20160311064534,白石桥南,张郭庄
14563102,923,441,20160311060000,20160311061343,白石桥南,动物园
18253543,923,1421,20160311060000,20160311064531,白石桥南,张郭庄
20077185,923,1013,20160311060000,20160311062650,白石桥南,牡丹园
12678556,923,621,20160311060100,20160311061043,白石桥南,海淀五路居
13399284,923,9039,20160311060100,20160311064103,白石桥南,角门西
6482155,923,210,20160311060200,20160311063527,白石桥南,北京站
85979198,923,739,20160311060200,20160311064144,白石桥南,广渠门内
54090562,923,1023,20160311060200,20160311064432,白石桥南,芍药居
44791115,923,117,20160311060200,20160311063221,白石桥南,天安门东
83032767,923,527,20160311060200,20160311065614,白石桥南,立水桥
1519376,923,214,20160311060400,20160311063528,白石桥南,东直门
39030589,923,209,20160311060400,20160311063203,白石桥南,崇文门
25907560,923,937,20160311060600,20160311062757,白石桥南,丰台东大街
1231382,923,1029,20160311060600,20160311065356,白石桥南,亮马桥
44382717,923,741,20160311060600,20160311064347,白石桥南,广渠门外
27069318,923,9025,20160311060800,20160311070708,白石桥南,十里河
64978111,923,9025,20160311060800,20160311070710,白石桥南,十里河
44122320,923,9523,20160311060800,20160311064722,白石桥南,大葆台
13454997,923,461,20160311060800,20160311064023,白石桥南,北京南站
13544253,923,935,20160311060800,20160311063209,白石桥南,七里庄
14957103,923,933,20160311060800,20160311062937,白石桥南,六里桥
52123184,923,9031,20160311060900,20160311065412,白石桥南,宋家庄
12039294,923,731,20160311061000,20160311063939,白石桥南,虎坊桥
14935079,923,1029,20160311061000,20160311064555,白石桥南,亮马桥
52436066,923,1033,20160311061100,20160311065632,白石桥南,团结湖
54568152,923,9708,20160311061100,20160311071604,白石桥南,通州北苑
74407952,923,461,20160311061200,20160311064624,白石桥南,北京南站
15047477,923,561,20160311061400,20160311065616,白石桥南,蒲黄榆
46581885,923,937,20160311061500,20160311064154,白石桥南,丰台东大街
39044662,923,1329,20160311061500,20160311065038,白石桥南,上地
66249969,923,427,20160311061700,20160311064021,白石桥南,圆明园
62276180,923,9629,20160311061700,20160311071950,白石桥南,亦庄桥
5308269,923,737,20160311061700,20160311065100,白石桥南,磁器口
79673310,923,749,20160311061800,20160311070338,白石桥南,百子湾
4552331,923,663,20160311061900,20160311071035,白石桥南,物资学院路
37249510,923,214,20160311062000,20160311065508,白石桥南,东直门
45222430,923,737,20160311062000,20160311073050,白石桥南,磁器口
68199924,923,925,20160311062000,20160311063148,白石桥南,白堆子
81525877,923,1479,20160311062000,20160311071029,白石桥南,将台
49580811,923,214,20160311062000,20160311065509,白石桥南,东直门
72402005,923,1423,20160311062100,20160311070546,白石桥南,园博园
53056588,923,9637,20160311062100,20160311072920,白石桥南,荣昌东街
33690074,923,645,20160311062100,20160311064601,白石桥南,东大桥
12650227,923,647,20160311062100,20160311064959,白石桥南,呼家楼
46442620,923,645,20160311062100,20160311064559,白石桥南,东大桥
44866044,923,733,20160311062200,20160311065356,白石桥南,珠市口
6999401,923,639,20160311062200,20160311063737,白石桥南,南锣鼓巷
45912817,923,9333,20160311062200,20160311071747,白石桥南,黄村西大街
52783915,923,9333,20160311062200,20160311071744,白石桥南,黄村西大街
52923872,923,449,20160311062200,20160311064331,白石桥南,西四
60235342,923,651,20160311062300,20160311065448,白石桥南,十里堡
64844983,923,1555,20160311062300,20160311080143,白石桥南,后沙峪
19128375,923,423,20160311062300,20160311064539,白石桥南,北宫门
44747621,923,561,20160311062500,20160311070915,白石桥南,蒲黄榆
16785396,923,1351,20160311062600,20160311070211,白石桥南,东直门
19265918,923,559,20160311062600,20160311070714,白石桥南,天坛东门
31487514,923,649,20160311062600,20160311065758,白石桥南,金台路
35998880,923,1479,20160311062900,20160311071715,白石桥南,将台
82346508,923,651,20160311062900,20160311065943,白石桥南,十里堡
85615433,923,9708,20160311063100,20160311074108,白石桥南,通州北苑
72841843,923,202,20160311063100,20160311064619,白石桥南,车公庄
39527639,923,425,20160311063100,20160311065909,白石桥南,西苑
48554386,923,207,20160311063100,20160311065629,白石桥南,和平门
10722676,923,943,20160311063100,20160311070257,白石桥南,丰台科技园
47877850,923,9639,20160311063300,20160311074831,白石桥南,同济南路
27611251,923,1029,20160311063300,20160311070748,白石桥南,亮马桥
64308170,923,563,20160311063300,20160311071520,白石桥南,刘家窑
49093512,923,208,20160311063300,20160311065905,白石桥南,前门
17342735,923,1479,20160311063300,20160311071544,白石桥南,将台
12793253,923,723,20160311063400,20160311065006,白石桥南,湾子
44882835,923,9711,20160311063400,20160311074711,白石桥南,梨园
80791043,923,209,20160311063400,20160311070118,白石桥南,崇文门
79477848,923,749,20160311063400,20160311071752,白石桥南,百子湾
12627404,923,927,20160311063400,20160311064202,白石桥南,军事博物馆
2194446,923,807,20160311063400,20160311073927,白石桥南,育知路
19321846,923,637,20160311063500,20160311065308,白石桥南,北海北
23575632,923,737,20160311063600,20160311072538,白石桥南,磁器口
74724527,923,659,20160311063600,20160311072259,白石桥南,常营
21439507,923,753,20160311063700,20160311073136,白石桥南,南楼梓庄
79711431,923,1019,20160311063700,20160311070632,白石桥南,安贞门
75486569,923,637,20160311063700,20160311065326,白石桥南,北海北
8508876,923,725,20160311063700,20160311070124,白石桥南,达官营
74899773,923,929,20160311063700,20160311065254,白石桥南,北京西站
7319660,923,105,20160311063700,20160311071001,白石桥南,八角游乐园
4913792,923,653,20160311063700,20160311071343,白石桥南,青年路
51772992,923,943,20160311063800,20160311071054,白石桥南,丰台科技园
53520911,923,1027,20160311063800,20160311071714,白石桥南,三元桥
17676929,923,116,20160311063900,20160311070528,白石桥南,天安门西
43522447,923,663,20160311063900,20160311072843,白石桥南,物资学院路
42042279,923,1007,20160311063900,20160311065939,白石桥南,知春里
19357060,923,661,20160311063900,20160311072654,白石桥南,草房
85844625,923,943,20160311063900,20160311071028,白石桥南,丰台科技园
78724126,923,9033,20160311063900,20160311073008,白石桥南,石榴庄
7869874,923,639,20160311063900,20160311065544,白石桥南,南锣鼓巷
18448580,923,925,20160311064000,20160311064525,白石桥南,白堆子
52101817,923,659,20160311064000,20160311073253,白石桥南,常营
37329364,923,9639,20160311064000,20160311074841,白石桥南,同济南路
72583276,923,9341,20160311064100,20160311075326,白石桥南,天宫院
37126824,923,1027,20160311064100,20160311072044,白石桥南,三元桥
18447668,923,659,20160311064100,20160311072315,白石桥南,常营
32205028,923,659,20160311064100,20160311072319,白石桥南,常营
72168970,923,205,20160311064200,20160311070519,白石桥南,长椿街
52987931,923,535,20160311064200,20160311073402,白石桥南,惠新西街北口
47734336,923,659,20160311064200,20160311072917,白石桥南,常营
20599472,923,645,20160311064200,20160311070946,白石桥南,东大桥
51642707,923,649,20160311064200,20160311071422,白石桥南,金台路
34576664,923,427,20160311064300,20160311070129,白石桥南,圆明园
49720762,923,943,20160311064300,20160311071603,白石桥南,丰台科技园
33000976,923,117,20160311064300,20160311071313,白石桥南,天安门东
74859344,923,107,20160311064300,20160311071103,白石桥南,玉泉路
13520027,923,663,20160311064300,20160311073406,白石桥南,物资学院路
12532985,923,467,20160311064300,20160311072056,白石桥南,公益西桥
7737411,923,1013,20160311064300,20160311070607,白石桥南,牡丹园
1829960,923,105,20160311064400,20160311071711,白石桥南,八角游乐园
18635050,923,104,20160311064400,20160311073112,白石桥南,古城
19320895,923,753,20160311064400,20160311074446,白石桥南,南楼梓庄
84098692,923,9057,20160311064400,20160311070714,白石桥南,公主坟
33152819,923,461,20160311064400,20160311071542,白石桥南,北京南站
1915461,923,563,20160311064400,20160311072715,白石桥南,刘家窑
19217549,923,105,20160311064400,20160311071710,白石桥南,八角游乐园
23385764,923,637,20160311064500,20160311065917,白石桥南,北海北
3581610,923,9713,20160311064500,20160311080800,白石桥南,土桥
43145825,923,1431,20160311064500,20160311070816,白石桥南,七里庄
3661302,923,1013,20160311064500,20160311071250,白石桥南,牡丹园
19321326,923,641,20160311064600,20160311070625,白石桥南,东四
84206502,923,623,20160311064600,20160311065709,白石桥南,慈寿寺
17331020,923,931,20160311064600,20160311070216,白石桥南,六里桥东
19277463,923,9711,20160311064600,20160311080419,白石桥南,梨园
12689467,923,925,20160311064700,20160311065331,白石桥南,白堆子
87747627,923,653,20160311064700,20160311072025,白石桥南,青年路
25977317,923,202,20160311064700,20160311065714,白石桥南,车公庄
44866382,923,637,20160311064800,20160311070538,白石桥南,北海北
74651335,923,435,20160311064800,20160311070022,白石桥南,人民大学
2349497,923,9061,20160311064800,20160311065814,白石桥南,慈寿寺
7901569,923,927,20160311064800,20160311065454,白石桥南,军事博物馆
34739369,923,637,20160311064900,20160311070526,白石桥南,北海北
18956271,923,114,20160311064900,20160311071012,白石桥南,复兴门
45535099,923,1429,20160311064900,20160311072358,白石桥南,大井
16344006,923,216,20160311064900,20160311071425,白石桥南,安定门
48408040,923,9521,20160311064900,20160311072447,白石桥南,郭公庄
7757742,923,927,20160311064900,20160311070109,白石桥南,军事博物馆
20861826,923,9633,20160311064900,20160311075806,白石桥南,万源街
19321342,923,523,20160311064900,20160311074625,白石桥南,天通苑
81078507,923,210,20160311064900,20160311072603,白石桥南,北京站
66254669,923,1485,20160311065000,20160311073914,白石桥南,阜通
16384714,923,125,20160311065000,20160311073925,白石桥南,四惠东
13530504,923,931,20160311065000,20160311071449,白石桥南,六里桥东
6116319,923,214,20160311065000,20160311072514,白石桥南,东直门
6084759,923,429,20160311065000,20160311070554,白石桥南,北京大学东门
72874818,923,205,20160311065100,20160311071128,白石桥南,长椿街
16224153,923,447,20160311065100,20160311070453,白石桥南,平安里
72874842,923,637,20160311065100,20160311070533,白石桥南,北海北
68141090,923,433,20160311065100,20160311071001,白石桥南,海淀黄庄
1157091,923,459,20160311065100,20160311072335,白石桥南,陶然亭
39181202,923,929,20160311065100,20160311070612,白石桥南,北京西站
86637358,923,1433,20160311065100,20160311071557,白石桥南,西局
45675912,923,925,20160311065200,20160311065855,白石桥南,白堆子
14563027,923,1029,20160311065200,20160311072859,白石桥南,亮马桥
