BUSDATA_ID,DEAL_TYPE,DEAL_SEQ_NUM,DEAL_TIME,SAM_CODE,BUSINESS_CODE,GRANT_CARD_CODE,CARD_TYPE,MONTH_TICKET_TYPE,LINE_CODE,VEHICLE_CODE,ON_STATION,OFF_STATION,DRIVER_CODE,CREATEDATE,BUS_GROUP_CODE,POS_CODE,UP_TIME
18440265948,185,24295,20160313053433,100002235,7510,12582288,7,0,653,14134,0,29,1004697,20160314185031,1793,0,19700101010101
18429699160,0,21049,20160313053704,300016895,7510,62310393,1,69,653,14561,2,2,1004578,20160314170901,5125,0,19700101010101
18429698176,0,21049,20160313053706,300016895,7510,50393176,1,69,653,14561,2,2,1004578,20160314170901,5125,0,19700101010101
18429686602,0,21049,20160313053955,300016895,7511,16097934,1,69,653,14561,3,3,1004578,20160314170901,5125,0,19700101010101
18429697848,0,21049,20160313053957,300016895,7510,39637763,1,69,653,14561,3,3,1004578,20160314170901,5125,0,19700101010101
18440270320,0,3461,20160313054024,200003295,7510,85303435,1,69,653,14562,1,1,1004623,20160314185031,1793,0,19700101010101
18440258883,0,3461,20160313054201,200003295,7511,13910240,1,69,653,14562,2,2,1004623,20160314185031,1793,0,19700101010101
18440276426,0,3461,20160313054322,200003295,7510,43481002,1,69,653,14562,3,3,1004623,20160314185031,1793,0,19700101010101
18428712171,6,29511,20160313054357,300017926,7510,50393176,1,69,653,14561,2,4,1004578,20160314170409,1937,0,20160313053701
18428711612,0,21049,20160313054403,300016895,7510,71571217,1,69,653,14561,4,4,1004578,20160314170409,1937,0,19700101010101
18440260836,0,3461,20160313054458,200003295,7510,78292665,1,69,653,14562,3,3,1004623,20160314185031,1793,0,19700101010101
18436855216,0,3821,20160313054740,300017929,7511,19239030,1,69,653,14561,6,6,1004578,20160314181455,4357,0,19700101010101
18436857801,0,4021,20160313054741,300017909,7511,19239031,1,69,653,14561,6,6,1004578,20160314181455,4357,0,19700101010101
18435119127,6,21050,20160313054923,300016895,7511,19239030,1,69,653,14561,6,6,1004578,20160314180005,260,0,20160313054701
18435102844,6,21051,20160313054925,300016895,7511,19239031,1,69,653,14561,6,6,1004578,20160314180005,260,0,20160313054701
18440261578,6,23339,20160313055037,300012235,7510,85303435,1,69,653,14562,1,6,1004623,20160314185031,1793,0,20160313054001
