BUSDATA_ID,DEAL_TYPE,DEAL_SEQ_NUM,DEAL_TIME,SAM_CODE,BUSINESS_CODE,GRANT_CARD_CODE,CARD_TYPE,MONTH_TICKET_TYPE,LINE_CODE,VEHICLE_CODE,ON_STATION,OFF_STATION,DRIVER_CODE,CREATEDATE,BUS_GROUP_CODE,POS_CODE,UP_TIME
18436050943,0,9772,20160313052245,500000885,7510,65235575,1,2,360,430240,20,20,4004550,20160314180956,401,0,19700101010101
18430831091,0,9772,20160313052855,500000885,7511,18294738,1,2,360,430240,18,18,4004550,20160314172301,2053,0,19700101010101
18435508262,0,9772,20160313053212,500000885,7510,1698279,1,2,360,430240,16,16,4004550,20160314180450,2053,0,19700101010101
18435539175,0,9772,20160313053213,500000885,7510,82503383,1,2,360,430240,16,16,4004550,20160314180450,2053,0,19700101010101
18435557548,0,9772,20160313053215,500000885,7510,85018772,1,2,360,430240,16,16,4004550,20160314180450,2053,0,19700101010101
18435538753,0,9772,20160313053916,500000885,7511,14004387,1,2,360,430240,14,14,4004550,20160314180450,2053,0,19700101010101
18429690322,0,6586,20160313054017,600002132,7510,83400467,1,2,360,430241,2,2,4004547,20160314170901,5125,0,19700101010101
18429691381,0,6586,20160313054019,600002132,7510,35010353,1,2,360,430241,2,2,4004547,20160314170901,5125,0,19700101010101
18428704690,185,6587,20160313054020,600002132,7510,12628114,7,0,360,430241,0,2,4004547,20160314170409,1937,0,19700101010101
18436856191,0,6587,20160313054530,600002132,7510,23126956,1,2,360,430241,6,6,4004547,20160314181455,4357,0,19700101010101
18436860116,0,7859,20160313054624,400000337,7510,48390155,1,2,360,430248,18,18,4004568,20160314181455,4357,0,19700101010101
18436859153,6,106431,20160313054629,300001653,7510,48390155,1,2,360,430248,18,18,4004568,20160314181455,4357,0,20160313054601
18428481156,185,8525,20160313054659,300002050,7510,12684096,7,0,360,430249,0,2,4004571,20160314165906,5124,0,19700101010101
18435116996,0,7859,20160313055135,400000337,7510,74158351,1,2,360,430248,16,16,4004568,20160314180005,260,0,19700101010101
18435101067,0,7859,20160313055136,400000337,7510,49831025,1,2,360,430248,16,16,4004568,20160314180005,260,0,19700101010101
18435058104,0,7859,20160313055137,400000337,7510,85779437,1,2,360,430248,16,16,4004568,20160314180005,260,0,19700101010101
18435845439,0,7859,20160313055330,400000337,7510,44333103,1,2,360,430248,15,15,4004568,20160314180450,4100,0,19700101010101
18435556735,0,9772,20160313055458,500000885,7510,22430207,1,2,360,430240,9,9,4004550,20160314180450,2053,0,19700101010101
18435541029,0,9772,20160313055505,500000885,7511,15263188,1,2,360,430240,9,9,4004550,20160314180450,2053,0,19700101010101
18428441083,0,8525,20160313055522,300002050,7510,74517854,1,2,360,430249,6,6,4004571,20160314165906,5124,0,19700101010101
18435553999,0,11120,20160313055541,100002799,7510,26396877,1,2,360,430236,20,20,4004566,20160314180450,2053,0,19700101010101
18428371140,0,6587,20160313055650,600002132,7510,35683314,1,2,360,430241,10,10,4004547,20160314165906,257,0,19700101010101
18435814410,0,11120,20160313055736,100002799,7510,62472792,1,2,360,430236,19,19,4004566,20160314180450,4100,0,19700101010101
18435814919,0,11120,20160313055738,100002799,7510,53761223,1,2,360,430236,19,19,4004566,20160314180450,4100,0,19700101010101
18435804264,0,11120,20160313055739,100002799,7510,30500861,1,2,360,430236,19,19,4004566,20160314180450,4100,0,19700101010101
