GRANT_CARD_CODE,ENTRY_NUM,EXIT_NUM,ENTRY_TIME,DEAL_TIME,ENTRY_STATION,EXIT_STATION
31723186,435,9641,20160307050900,20160307064051,人民大学,经海路
27063726,435,751,20160307050900,20160307061217,人民大学,化工
31625999,435,9423,20160307051100,20160307063239,人民大学,昌平
17515209,435,210,20160307051100,20160307055422,人民大学,北京站
12675712,435,201,20160307051100,20160307052721,人民大学,西直门
43423852,435,461,20160307051300,20160307054615,人民大学,北京南站
64864067,435,120,20160307052000,20160307060626,人民大学,建国门
12607632,435,461,20160307052000,20160307055620,人民大学,北京南站
11249258,435,459,20160307052000,20160307055237,人民大学,陶然亭
36487453,435,447,20160307052100,20160307054023,人民大学,平安里
89209677,435,1351,20160307052700,20160307060723,人民大学,东直门
14080439,435,943,20160307052800,20160307062833,人民大学,丰台科技园
49487711,435,1351,20160307053000,20160307060818,人民大学,东直门
24338883,435,123,20160307053200,20160307061907,人民大学,大望路
49629073,435,9035,20160307053300,20160307061944,人民大学,大红门
48960235,435,447,20160307053400,20160307055017,人民大学,平安里
12678787,435,203,20160307053400,20160307055407,人民大学,阜成门
44962975,435,421,20160307053500,20160307060058,人民大学,安河桥北
52649286,435,441,20160307053500,20160307054329,人民大学,动物园
82311246,435,9639,20160307053500,20160307070213,人民大学,同济南路
13812760,435,931,20160307053700,20160307061459,人民大学,六里桥东
14163871,435,123,20160307053700,20160307063425,人民大学,大望路
33944932,435,461,20160307053900,20160307061215,人民大学,北京南站
12605147,435,425,20160307053900,20160307055631,人民大学,西苑
28633492,435,201,20160307053900,20160307055423,人民大学,西直门
12721376,435,423,20160307054000,20160307055809,人民大学,北宫门
5076819,435,461,20160307054000,20160307061323,人民大学,北京南站
7243363,435,9708,20160307054400,20160307070015,人民大学,通州北苑
17123868,435,1027,20160307054400,20160307061553,人民大学,三元桥
78947988,435,441,20160307054600,20160307055620,人民大学,动物园
6493231,435,461,20160307054600,20160307061832,人民大学,北京南站
