BUSDATA_ID,DEAL_TYPE,DEAL_SEQ_NUM,DEAL_TIME,SAM_CODE,BUSINESS_CODE,GRANT_CARD_CODE,CARD_TYPE,MONTH_TICKET_TYPE,LINE_CODE,VEHICLE_CODE,ON_STATION,OFF_STATION,DRIVER_CODE,CREATEDATE,UPDATEDATE,BUS_GROUP_CODE,UP_TIME
18340547790,6,37048,20160309000024,18764,7510,38857981,18,128,121,98023,1,1,9017083,20160310175730,20160310175730,4616,20160308235001
18340575903,6,37049,20160309000026,18764,7510,48093540,1,128,121,98023,1,1,9017083,20160310175730,20160310175730,4616,20160308233901
18340541686,6,37050,20160309000105,18764,7510,52550401,1,128,121,98023,1,1,9017083,20160310175730,20160310175730,4616,20160308234901
18337821869,0,2553,20160309000147,20074,7511,11030462,1,128,121,98019,1,1,9003173,20160310173334,20160310173334,5128,19700101010101
18820711002,0,2553,20160309000147,20074,7511,11030462,1,128,121,98019,1,1,9003173,20160408174555,20160408174555,520,19700101010101
18820286809,0,2553,20160309000147,20074,7511,11030462,1,128,121,98019,1,1,9003173,20160408174113,20160408174113,776,19700101010101
18337983830,0,2553,20160309000147,20074,7511,11030462,1,128,121,98019,1,1,9003173,20160310173815,20160310173815,776,19700101010101
18340569281,6,37051,20160309000214,18764,7511,15340003,1,128,121,98023,1,1,9017083,20160310175730,20160310175730,4616,20160308235001
18340574164,6,37052,20160309000234,18764,7510,31952837,1,128,121,98023,1,1,9017083,20160310175730,20160310175730,4616,20160308232901
18340551207,6,37053,20160309000251,18764,7510,42518713,1,128,121,98023,1,1,9017083,20160310175730,20160310175730,4616,20160308232901
18340542396,6,37054,20160309000316,18764,7510,4836455,1,0,121,98023,1,1,9017083,20160310175730,20160310175730,4616,20160308233901
18340574409,0,7818,20160309000323,300025836,7510,89315607,1,128,121,98022,13,13,9003109,20160310175730,20160310175730,4616,19700101010101
18337367261,6,29053,20160309000438,300032388,7510,19267685,1,0,121,950144,13,8,9003152,20160310173334,20160310173334,264,20160308234301
18340118761,6,29054,20160309000443,300032388,7510,71250180,1,1,121,950144,13,8,9003152,20160310175730,20160310175730,1688,20160308235801
18820285716,0,2553,20160309000652,20074,7510,86697709,1,128,121,98019,4,4,9003173,20160408174113,20160408174113,776,19700101010101
18337983176,0,2553,20160309000652,20074,7510,86697709,1,128,121,98019,4,4,9003173,20160310173815,20160310173815,776,19700101010101
18820709833,0,2553,20160309000652,20074,7510,86697709,1,128,121,98019,4,4,9003173,20160408174555,20160408174555,520,19700101010101
18337818371,0,2553,20160309000652,20074,7510,86697709,1,128,121,98019,4,4,9003173,20160310173334,20160310173334,5128,19700101010101
18340116576,6,29055,20160309000713,300032388,7510,60929231,1,1,121,950144,13,8,9003152,20160310175730,20160310175730,1688,20160308235001
18337993978,6,31681,20160309000719,24250,7511,11030462,1,128,121,98019,1,4,9003173,20160310173815,20160310173815,776,20160309000101
18820727058,6,31681,20160309000719,24250,7511,11030462,1,128,121,98019,1,4,9003173,20160408174555,20160408174555,520,20160309000101
18337810007,6,31681,20160309000719,24250,7511,11030462,1,128,121,98019,1,4,9003173,20160310173334,20160310173334,5128,20160309000101
18820296455,6,31681,20160309000719,24250,7511,11030462,1,128,121,98019,1,4,9003173,20160408174113,20160408174113,776,20160309000101
18337816494,6,2554,20160309000832,20074,7510,86697709,1,128,121,98019,4,5,9003173,20160310173334,20160310173334,5128,20160309000601
18820293018,6,2554,20160309000832,20074,7510,86697709,1,128,121,98019,4,5,9003173,20160408174113,20160408174113,776,20160309000601
18820719840,6,2554,20160309000832,20074,7510,86697709,1,128,121,98019,4,5,9003173,20160408174555,20160408174555,520,20160309000601
18337989229,6,2554,20160309000832,20074,7510,86697709,1,128,121,98019,4,5,9003173,20160310173815,20160310173815,776,20160309000601
18340576432,0,7818,20160309000842,300025836,7510,85457265,1,128,121,98022,12,12,9003109,20160310175730,20160310175730,4616,19700101010101
18340545033,0,7818,20160309000843,300025836,7511,16291814,1,128,121,98022,12,12,9003109,20160310175730,20160310175730,4616,19700101010101
18340570438,0,7818,20160309000854,300025836,7510,47880849,1,128,121,98022,12,12,9003109,20160310175730,20160310175730,4616,19700101010101
18820287609,0,2554,20160309000912,20074,7510,80178997,1,128,121,98019,5,5,9003173,20160408174113,20160408174113,776,19700101010101
18337984925,0,2554,20160309000912,20074,7510,80178997,1,128,121,98019,5,5,9003173,20160310173815,20160310173815,776,19700101010101
18820715402,0,2554,20160309000912,20074,7510,80178997,1,128,121,98019,5,5,9003173,20160408174555,20160408174555,520,19700101010101
18337810036,0,2554,20160309000912,20074,7510,80178997,1,128,121,98019,5,5,9003173,20160310173334,20160310173334,5128,19700101010101
18340569748,6,78607,20160309001101,15635,7510,89315607,1,128,121,98022,13,12,9003109,20160310175730,20160310175730,4616,20160309000301
18340571921,0,7818,20160309001221,300025836,7510,66718364,1,128,121,98022,11,11,9003109,20160310175730,20160310175730,4616,19700101010101
18820285650,0,2554,20160309001311,20074,7510,86247163,1,128,121,98019,6,6,9003173,20160408174113,20160408174113,776,19700101010101
18337813175,0,2554,20160309001311,20074,7510,86247163,1,128,121,98019,6,6,9003173,20160310173334,20160310173334,5128,19700101010101
18337985412,0,2554,20160309001311,20074,7510,86247163,1,128,121,98019,6,6,9003173,20160310173815,20160310173815,776,19700101010101
18820716935,0,2554,20160309001311,20074,7510,86247163,1,128,121,98019,6,6,9003173,20160408174555,20160408174555,520,19700101010101
18340540211,0,7818,20160309001837,300025836,7510,89600321,1,128,121,98022,9,9,9003109,20160310175730,20160310175730,4616,19700101010101
18340569394,6,78608,20160309002107,15635,7510,85457265,1,128,121,98022,12,8,9003109,20160310175730,20160310175730,4616,20160309000801
18340549323,6,78609,20160309002111,15635,7510,47880849,1,128,121,98022,12,8,9003109,20160310175730,20160310175730,4616,20160309000801
