GRANT_CARD_CODE,ENTRY_NUM,EXIT_NUM,ENTRY_TIME,DEAL_TIME,ENTRY_STATION,EXIT_STATION
5715733,925,933,20160308052400,20160308061635,白堆子,六里桥
78073964,925,641,20160308053300,20160308061007,白堆子,东四
3502343,925,210,20160308053300,20160308062312,白堆子,北京站
13728327,925,9535,20160308053700,20160308070009,白堆子,良乡大学城
60889655,925,447,20160308053800,20160308060256,白堆子,平安里
65316491,925,929,20160308053900,20160308061043,白堆子,北京西站
37989989,925,423,20160308054200,20160308061534,白堆子,北宫门
45221415,925,9035,20160308054400,20160308064337,白堆子,大红门
42659115,925,731,20160308054800,20160308062629,白堆子,虎坊桥
87125081,925,929,20160308054900,20160308061059,白堆子,北京西站
6550255,925,541,20160308054900,20160308063413,白堆子,和平里北街
12678142,925,937,20160308055000,20160308062155,白堆子,丰台东大街
16967253,925,9523,20160308055100,20160308063734,白堆子,大葆台
21838996,925,9527,20160308055300,20160308064818,白堆子,长阳
85858492,925,9523,20160308055400,20160308063730,白堆子,大葆台
16852947,925,461,20160308055500,20160308063505,白堆子,北京南站
12626208,925,9523,20160308055500,20160308063716,白堆子,大葆台
12636967,925,929,20160308055700,20160308061033,白堆子,北京西站
32436519,925,201,20160308055800,20160308061717,白堆子,西直门
54584775,925,9063,20160308055800,20160308062142,白堆子,车道沟
50849804,925,201,20160308055900,20160308061628,白堆子,西直门
53682467,925,122,20160308055900,20160308063924,白堆子,国贸
66870520,925,943,20160308060000,20160308062758,白堆子,丰台科技园
12678146,925,621,20160308060000,20160308062237,白堆子,海淀五路居
85480049,925,9635,20160308060000,20160308071352,白堆子,荣京东街
52866584,925,9706,20160308060000,20160308070403,白堆子,管庄
69747904,925,1011,20160308060100,20160308063331,白堆子,西土城
78972305,925,931,20160308060200,20160308061349,白堆子,六里桥东
35447784,925,429,20160308060300,20160308062755,白堆子,北京大学东门
24233106,925,423,20160308060400,20160308063427,白堆子,北宫门
13116736,925,218,20160308060500,20160308063001,白堆子,积水潭
63424040,925,749,20160308060500,20160308065131,白堆子,百子湾
63885717,925,218,20160308060500,20160308063001,白堆子,积水潭
11087880,925,1333,20160308060600,20160308065926,白堆子,龙泽
79059223,925,1333,20160308060600,20160308065121,白堆子,龙泽
15319164,925,123,20160308060600,20160308064717,白堆子,大望路
17756605,925,725,20160308060700,20160308063220,白堆子,达官营
12658194,925,747,20160308060700,20160308065247,白堆子,大郊亭
6724609,925,1539,20160308060700,20160308071253,白堆子,望京西
15298733,925,725,20160308060700,20160308063222,白堆子,达官营
66506504,925,943,20160308060700,20160308063513,白堆子,丰台科技园
40923949,925,621,20160308060800,20160308162517,白堆子,海淀五路居
15630221,925,941,20160308060800,20160308063239,白堆子,科怡路
69988205,925,645,20160308060800,20160308064006,白堆子,东大桥
50848463,925,433,20160308060900,20160308062846,白堆子,海淀黄庄
66427475,925,725,20160308060900,20160308063223,白堆子,达官营
15286298,925,9537,20160308060900,20160308071242,白堆子,良乡大学城西
14515673,925,9537,20160308060900,20160308071245,白堆子,良乡大学城西
67088652,925,121,20160308061000,20160308064716,白堆子,永安里
43176167,925,121,20160308061000,20160308064722,白堆子,永安里
16365492,925,725,20160308061100,20160308063221,白堆子,达官营
15955324,925,9710,20160308061100,20160308072504,白堆子,九棵树
87227457,925,9710,20160308061100,20160308072506,白堆子,九棵树
19746375,925,9023,20160308061100,20160308070952,白堆子,潘家园
44887342,925,9637,20160308061200,20160308072157,白堆子,荣昌东街
30341977,925,1431,20160308061200,20160308063308,白堆子,七里庄
33669076,925,929,20160308061200,20160308062407,白堆子,北京西站
53383592,925,1557,20160308061200,20160308074018,白堆子,南法信
63696762,925,533,20160308061300,20160308070353,白堆子,大屯路东
10117386,925,927,20160308061300,20160308061935,白堆子,军事博物馆
16627658,925,1547,20160308061400,20160308073223,白堆子,马泉营
21778265,925,1489,20160308061500,20160308071955,白堆子,东湖渠
