BUSDATA_ID,DEAL_TYPE,DEAL_SEQ_NUM,DEAL_TIME,SAM_CODE,BUSINESS_CODE,GRANT_CARD_CODE,CARD_TYPE,MONTH_TICKET_TYPE,LINE_CODE,VEHICLE_CODE,ON_STATION,OFF_STATION,DRIVER_CODE,CREATEDATE,UPDATEDATE,BUS_GROUP_CODE,POS_CODE,UP_TIME
18358386395,0,6058,20160310051148,100002040,7510,74218621,1,86,118,95656,18,18,9000755,20160311181507,20160311181507,520,0,19700101010101
18358384938,0,5375,20160310051213,300026936,7510,62894231,19,86,118,95651,1,1,9000681,20160311181507,20160311181507,520,0,19700101010101
18358381254,0,6058,20160310051620,100002040,7510,45533466,1,86,118,95656,16,16,9000755,20160311181507,20160311181507,520,0,19700101010101
18358386662,185,6059,20160310051622,100002040,7510,12617760,7,0,118,95656,0,16,9000755,20160311181507,20160311181507,520,0,19700101010101
18358380784,0,6059,20160310051624,100002040,7510,69286290,19,86,118,95656,16,16,9000755,20160311181507,20160311181507,520,0,19700101010101
18358385124,6,81015,20160310051631,300008491,7510,69286290,19,86,118,95656,16,16,9000755,20160311181507,20160311181507,520,0,20160310051601
18357724949,0,5711,20160310051931,600000260,7510,86902549,1,86,118,95643,1,1,9000671,20160311180552,20160311180552,1032,0,19700101010101
18358383210,0,6059,20160310051943,100002040,7510,85959037,1,86,118,95656,15,15,9000755,20160311181507,20160311181507,520,0,19700101010101
18358378858,0,6059,20160310052040,100002040,7510,1816822,1,86,118,95656,14,14,9000755,20160311181507,20160311181507,520,0,19700101010101
18358382173,0,5375,20160310052126,300026936,7510,4593736,1,86,118,95651,5,5,9000681,20160311181507,20160311181507,520,0,19700101010101
18357718116,0,5711,20160310052154,600000260,7510,74726956,1,86,118,95643,2,2,9000671,20160311180552,20160311180552,1032,0,19700101010101
18358384552,185,80557,20160310052221,300030765,7510,12636280,7,0,118,95657,0,9,9011186,20160311181507,20160311181507,520,0,19700101010101
18358387256,185,7224,20160310052532,300003230,7510,12674822,7,0,118,95634,0,18,9000752,20160311181507,20160311181507,520,0,19700101010101
