BUSDATA_ID,DEAL_TYPE,DEAL_SEQ_NUM,DEAL_TIME,SAM_CODE,BUSINESS_CODE,GRANT_CARD_CODE,CARD_TYPE,MONTH_TICKET_TYPE,LINE_CODE,VEHICLE_CODE,ON_STATION,OFF_STATION,DRIVER_CODE,CREATEDATE,UPDATEDATE,BUS_GROUP_CODE,POS_CODE,UP_TIME
18349858581,0,5072,20160310055404,300031853,7510,39190145,1,1,362,420194,17,17,4004686,20160311170108,20160311170108,5124,0,19700101010101
18349872351,6,21053,20160310055453,300031855,7510,87487417,19,1,362,420194,17,16,4004686,20160311170108,20160311170108,5124,0,20160310055201
18349875515,0,11429,20160310055605,300024738,7511,12875006,1,1,362,420188,21,21,4004629,20160311170108,20160311170108,5124,0,19700101010101
18349872475,0,4417,20160310055608,300024736,7510,66274539,1,1,362,420188,21,21,4004629,20160311170108,20160311170108,5124,0,19700101010101
18349874433,0,4666,20160310055646,300024745,7510,28138294,19,2,362,420201,15,15,4004657,20160311170108,20160311170108,5124,0,19700101010101
18349947116,0,2773,20160310055646,300024744,7510,61825716,1,2,362,420201,15,15,4004657,20160311170108,20160311170108,5124,0,19700101010101
18349970670,0,2773,20160310055647,300024744,7510,49664447,1,2,362,420201,15,15,4004657,20160311170108,20160311170108,5124,0,19700101010101
18349860191,0,4666,20160310055647,300024745,7510,81347760,1,2,362,420201,15,15,4004657,20160311170108,20160311170108,5124,0,19700101010101
18349994020,0,4666,20160310055648,300024745,7510,25901324,1,2,362,420201,15,15,4004657,20160311170108,20160311170108,5124,0,19700101010101
18349880985,0,4666,20160310055648,300024745,7510,25901324,1,2,362,420201,15,15,4004657,20160311170108,20160311170108,5124,0,19700101010101
18349946958,0,2773,20160310055649,300024744,7510,51200182,1,2,362,420201,15,15,4004657,20160311170108,20160311170108,5124,0,19700101010101
18349991318,0,4666,20160310055650,300024745,7510,85874481,1,2,362,420201,15,15,4004657,20160311170108,20160311170108,5124,0,19700101010101
18349986490,0,4666,20160310055651,300024745,7511,17812531,1,2,362,420201,15,15,4004657,20160311170108,20160311170108,5124,0,19700101010101
18349994102,0,2773,20160310055651,300024744,7510,35660333,1,2,362,420201,15,15,4004657,20160311170108,20160311170108,5124,0,19700101010101
18350179594,6,19230,20160310055653,300024739,7510,28138294,19,0,362,420201,15,15,4004657,20160311170108,20160311170108,5124,0,20160310055601
18349997763,0,2773,20160310055653,300024744,7511,15054913,1,2,362,420201,15,15,4004657,20160311170108,20160311170108,5124,0,19700101010101
18349977276,0,4666,20160310055653,300024745,7510,72470994,1,2,362,420201,15,15,4004657,20160311170108,20160311170108,5124,0,19700101010101
18349982148,0,2773,20160310055654,300024744,7510,49484444,1,2,362,420201,15,15,4004657,20160311170108,20160311170108,5124,0,19700101010101
18349979720,0,4666,20160310055655,300024745,7510,35126255,1,2,362,420201,15,15,4004657,20160311170108,20160311170108,5124,0,19700101010101
18349888628,0,4417,20160310055655,300024736,7510,37537211,18,1,362,420188,20,20,4004629,20160311170108,20160311170108,5124,0,19700101010101
18351419381,0,4417,20160310055655,300024736,7510,37537211,18,1,362,420188,20,20,4004629,20160311171138,20160311171138,5124,0,19700101010101
18350000756,0,2773,20160310055656,300024744,7510,86151647,1,2,362,420201,15,15,4004657,20160311170108,20160311170108,5124,0,19700101010101
