BUSDATA_ID,DEAL_TYPE,DEAL_SEQ_NUM,DEAL_TIME,SAM_CODE,GRANT_CARD_CODE,CARD_TYPE,MONTH_TICKET_TYPE,LINE_CODE,VEHICLE_CODE,ON_STATION,OFF_STATION,VAL_FLAG,BL_COMP_CODE,RUN_COMP_CODE,LOW_COMP_CODE,BUS_GROUP_CODE,GET_POINT_CODE,POS_CODE,UP_TIME
18324868555,6,28447,20160308000352,300032388,86182384,1,1,121,950144,8,8,,75100800,0,0,2056,0,0,20160307235501
18321836712,0,2501,20160308000405,20074,19242228,1,128,121,98019,2,2,,75101500,0,0,1544,0,0,19700101010101
18320793336,0,2501,20160308000405,20074,19242228,1,128,121,98019,2,2,,75101500,0,0,1544,0,0,19700101010101
18321870796,0,2501,20160308000409,20074,47829367,1,128,121,98019,2,2,,75101500,0,0,1544,0,0,19700101010101
18320836665,0,2501,20160308000409,20074,47829367,1,128,121,98019,2,2,,75101500,0,0,1544,0,0,19700101010101
18324876145,6,28448,20160308000542,300032388,34409077,1,1,121,950144,8,8,,75100800,0,0,2056,0,0,20160307234301
18321845820,0,2501,20160308000546,20074,19716083,1,128,121,98019,3,3,,75101500,0,0,1544,0,0,19700101010101
18320825970,0,2501,20160308000546,20074,19716083,1,128,121,98019,3,3,,75101500,0,0,1544,0,0,19700101010101
18324863602,6,28449,20160308000627,300032388,54333112,1,1,121,950144,8,8,,75100800,0,0,2056,0,0,20160307235501
18320795149,0,7762,20160308000638,300025836,85457265,1,128,121,98022,12,12,,75101500,0,0,1544,0,0,19700101010101
18321871826,0,7762,20160308000638,300025836,85457265,1,128,121,98022,12,12,,75101500,0,0,1544,0,0,19700101010101
18321861771,0,7762,20160308000641,300025836,47041679,1,128,121,98022,12,12,,75101500,0,0,1544,0,0,19700101010101
18320832027,0,7762,20160308000641,300025836,47041679,1,128,121,98022,12,12,,75101500,0,0,1544,0,0,19700101010101
18324864454,6,28450,20160308000642,300032388,51866592,1,1,121,950144,8,8,,75100800,0,0,2056,0,0,20160307235501
18320843469,6,31049,20160308000741,24250,19716083,1,128,121,98019,3,4,,75101500,0,0,1544,0,0,20160308000501
18321866484,6,31049,20160308000741,24250,19716083,1,128,121,98019,3,4,,75101500,0,0,1544,0,0,20160308000501
18320835017,0,7762,20160308000746,300025836,16638483,1,128,121,98022,12,12,,75101500,0,0,1544,0,0,19700101010101
18321840500,0,7762,20160308000746,300025836,16638483,1,128,121,98022,12,12,,75101500,0,0,1544,0,0,19700101010101
18320840993,0,2501,20160308000751,20074,15130205,1,128,121,98019,4,4,,75101500,0,0,1544,0,0,19700101010101
18321868326,0,2501,20160308000751,20074,15130205,1,128,121,98019,4,4,,75101500,0,0,1544,0,0,19700101010101
18321872124,0,2501,20160308000754,20074,13084310,1,128,121,98019,4,4,,75101500,0,0,1544,0,0,19700101010101
18320839411,0,2501,20160308000754,20074,13084310,1,128,121,98019,4,4,,75101500,0,0,1544,0,0,19700101010101
18321866500,6,31050,20160308000909,24250,47829367,1,128,121,98019,2,5,,75101500,0,0,1544,0,0,20160308000401
18320832106,6,31050,20160308000909,24250,47829367,1,128,121,98019,2,5,,75101500,0,0,1544,0,0,20160308000401
