BUSDATA_ID,DEAL_TYPE,DEAL_SEQ_NUM,DEAL_TIME,SAM_CODE,GRANT_CARD_CODE,CARD_TYPE,MONTH_TICKET_TYPE,LINE_CODE,VEHICLE_CODE,ON_STATION,OFF_STATION,VAL_FLAG,BL_COMP_CODE,RUN_COMP_CODE,LOW_COMP_CODE,BUS_GROUP_CODE,GET_POINT_CODE,POS_CODE,UP_TIME
18324969714,0,6019,20160308055252,100002040,79075754,1,86,118,95656,11,11,,75100800,0,0,520,0,0,19700101010101
18323938929,0,5548,20160308055329,300011029,15639578,1,86,118,95657,12,12,,75100800,0,0,5528,0,0,19700101010101
18325107282,6,50408,20160308055331,300030638,11727877,1,86,118,95638,7,6,,75100800,0,0,520,0,0,20160308055101
18324830831,0,7501,20160308055347,400002395,41103867,81,86,118,95638,6,6,,75100800,0,0,520,0,0,19700101010101
18323941313,0,5124,20160308055428,300026953,50643555,1,86,118,95655,16,16,,75100800,0,0,5528,0,0,19700101010101
18323940947,0,5124,20160308055430,300026953,15643471,1,86,118,95655,16,16,,75100800,0,0,5528,0,0,19700101010101
18323942820,0,5124,20160308055432,300026953,88112004,1,86,118,95655,16,16,,75100800,0,0,5528,0,0,19700101010101
18323956152,0,5124,20160308055539,300026953,10271290,1,86,118,95655,16,16,,75100800,0,0,5528,0,0,19700101010101
18323269954,0,7057,20160308055621,500000590,15093547,1,86,118,95647,8,8,,75100800,0,0,520,0,0,19700101010101
18324830935,0,7501,20160308055631,400002395,7225454,1,86,118,95638,5,5,,75100800,0,0,520,0,0,19700101010101
18323950424,0,5124,20160308055655,300026953,44577720,1,86,118,95655,15,15,,75100800,0,0,5528,0,0,19700101010101
18323944585,0,5124,20160308055657,300026953,23872432,1,86,118,95655,15,15,,75100800,0,0,5528,0,0,19700101010101
18324963209,0,5320,20160308055731,300026936,85897208,1,86,118,95651,5,5,,75100800,0,0,520,0,0,19700101010101
18323146421,0,5124,20160308055750,300026953,67766202,1,86,118,95655,15,15,,75100800,0,0,4616,0,0,19700101010101
18325105493,6,50409,20160308055823,300030638,69925599,1,86,118,95638,7,4,,75100800,0,0,520,0,0,20160308055101
18324945567,0,6400,20160308055840,300010753,10091052,1,86,118,95631,2,2,,75100800,0,0,520,0,0,19700101010101
18324935620,0,5320,20160308055853,300026936,79307919,1,86,118,95651,6,6,,75100800,0,0,520,0,0,19700101010101
18324936750,6,72256,20160308055854,300030754,85897208,1,86,118,95651,5,6,,75100800,0,0,520,0,0,20160308055701
18323132842,6,73880,20160308055903,300026948,44577720,1,86,118,95655,15,14,,75100800,0,0,4616,0,0,20160308055601
18325112585,6,50410,20160308055905,300030638,7225454,1,0,118,95638,5,4,,75100800,0,0,520,0,0,20160308055601
18323252719,0,7057,20160308055915,500000590,81004190,1,86,118,95647,8,8,,75100800,0,0,520,0,0,19700101010101
18323147795,6,73881,20160308055924,300026948,50643555,1,86,118,95655,16,14,,75100800,0,0,4616,0,0,20160308055401
18324936024,6,72257,20160308055941,300030754,39480276,1,86,118,95651,1,6,,75100800,0,0,520,0,0,20160308054501
18324744191,6,79793,20160308060032,300030765,25343038,1,0,118,95657,18,10,,75100800,0,0,4872,0,0,20160308053701
18323888852,0,5206,20160308060042,300000788,63057070,1,86,118,95639,18,18,,75100800,0,0,520,0,0,19700101010101
18323885470,0,5206,20160308060044,300000788,45651376,1,86,118,95639,18,18,,75100800,0,0,520,0,0,19700101010101
18324940282,6,80266,20160308060055,300008491,79075754,1,86,118,95656,11,14,,75100800,0,0,520,0,0,20160308055201
18324765941,0,5548,20160308060106,300011029,68269173,1,86,118,95657,10,10,,75100800,0,0,4872,0,0,19700101010101
18323261223,0,7057,20160308060107,500000590,13633145,1,86,118,95647,9,9,,75100800,0,0,520,0,0,19700101010101
18323257490,0,7057,20160308060109,500000590,49122492,1,86,118,95647,9,9,,75100800,0,0,520,0,0,19700101010101
18322930935,6,95966,20160308060124,300012512,14131527,1,0,118,95647,6,10,,75100800,0,0,520,0,0,20160308055001
18324765663,6,79794,20160308060140,300030765,4885150,1,0,118,95657,17,9,,75100800,0,0,4872,0,0,20160308053901
18323265044,0,7057,20160308060152,500000590,87483112,1,86,118,95647,10,10,,75100800,0,0,520,0,0,19700101010101
18323262262,0,7057,20160308060155,500000590,85942792,1,86,118,95647,10,10,,75100800,0,0,520,0,0,19700101010101
18322952692,6,95967,20160308060155,300012512,16573545,1,86,118,95647,5,10,,75100800,0,0,520,0,0,20160308055001
18323141059,0,5124,20160308060316,300026953,52805611,1,86,118,95655,13,13,,75100800,0,0,4616,0,0,19700101010101
18325112016,6,50411,20160308060327,300030638,41103867,81,86,118,95638,6,4,,75100800,0,0,520,0,0,20160308055301
18323896188,0,5206,20160308060418,300000788,81046566,1,86,118,95639,16,16,,75100800,0,0,520,0,0,19700101010101
18324973878,0,6400,20160308060446,300010753,21632234,1,86,118,95631,3,3,,75100800,0,0,520,0,0,19700101010101
18324942576,0,6400,20160308060452,300010753,20707497,1,86,118,95631,3,3,,75100800,0,0,520,0,0,19700101010101
18324973419,0,6400,20160308060453,300010753,87686043,1,86,118,95631,3,3,,75100800,0,0,520,0,0,19700101010101
18324938392,0,5320,20160308060455,300026936,16301879,1,86,118,95651,8,8,,75100800,0,0,520,0,0,19700101010101
18322939409,6,95968,20160308060509,300012512,46929576,1,86,118,95647,3,11,,75100800,0,0,520,0,0,20160308054601
18323905976,0,5206,20160308060521,300000788,79586828,1,86,118,95639,16,16,,75100800,0,0,520,0,0,19700101010101
18323253882,0,7057,20160308060536,500000590,64052866,1,86,118,95647,11,11,,75100800,0,0,520,0,0,19700101010101
18323262858,0,7057,20160308060537,500000590,32458648,1,86,118,95647,11,11,,75100800,0,0,520,0,0,19700101010101
18323252271,0,7057,20160308060539,500000590,50976166,1,86,118,95647,11,11,,75100800,0,0,520,0,0,19700101010101
18323254734,0,7057,20160308060541,500000590,19608094,1,86,118,95647,11,11,,75100800,0,0,520,0,0,19700101010101
18323246534,0,7057,20160308060542,500000590,89494186,1,86,118,95647,11,11,,75100800,0,0,520,0,0,19700101010101
18323272355,0,7057,20160308060544,500000590,81398226,1,86,118,95647,11,11,,75100800,0,0,520,0,0,19700101010101
18324974642,0,6400,20160308060608,300010753,42057045,18,86,118,95631,4,4,,75100800,0,0,520,0,0,19700101010101
18324935608,0,6400,20160308060610,300010753,13332211,1,86,118,95631,4,4,,75100800,0,0,520,0,0,19700101010101
18324936367,6,80267,20160308060623,300008491,41008550,81,86,118,95656,9,16,,75100800,0,0,520,0,0,20160308054401
18323141884,0,3312,20160308060646,100004798,52566630,1,86,118,95652,1,1,,75100800,0,0,4616,0,0,19700101010101
18323147607,6,73882,20160308060713,300026948,10271290,1,0,118,95655,16,12,,75100800,0,0,4616,0,0,20160308055501
18323901838,0,5206,20160308060714,300000788,14786354,1,86,118,95639,15,15,,75100800,0,0,520,0,0,19700101010101
18323892953,0,5206,20160308060721,300000788,5329707,1,86,118,95639,15,15,,75100800,0,0,520,0,0,19700101010101
18323136639,6,79795,20160308060721,300030765,68269173,1,86,118,95657,10,7,,75100800,0,0,4616,0,0,20160308060101
18323133222,0,6547,20160308060732,200002565,7980360,18,86,118,95646,18,18,,75100800,0,0,4616,0,0,19700101010101
18322942609,6,95969,20160308060733,300012512,38583750,18,86,118,95647,6,11,,75100800,0,0,520,0,0,20160308055201
18323134278,6,79796,20160308060741,300030765,67669884,1,86,118,95657,16,7,,75100800,0,0,4616,0,0,20160308054001
18323157910,0,5124,20160308060824,300026953,82938794,1,86,118,95655,12,12,,75100800,0,0,4616,0,0,19700101010101
18323246771,0,7057,20160308060828,500000590,16096525,1,86,118,95647,12,12,,75100800,0,0,520,0,0,19700101010101
18323249819,0,7057,20160308060829,500000590,36004997,1,86,118,95647,12,12,,75100800,0,0,520,0,0,19700101010101
18323258185,0,7057,20160308060830,500000590,89004036,1,86,118,95647,12,12,,75100800,0,0,520,0,0,19700101010101
18324936017,0,6400,20160308060844,300010753,11682672,1,86,118,95631,5,5,,75100800,0,0,520,0,0,19700101010101
18322942324,6,95970,20160308060912,300012512,87166083,1,86,118,95647,3,12,,75100800,0,0,520,0,0,20160308054601
18324973736,6,72258,20160308060932,300030754,79307919,1,86,118,95651,6,11,,75100800,0,0,520,0,0,20160308055801
18323154312,6,73883,20160308060939,300026948,88112004,1,86,118,95655,16,11,,75100800,0,0,4616,0,0,20160308055401
18324940370,0,5320,20160308060950,300026936,66553300,1,86,118,95651,11,11,,75100800,0,0,520,0,0,19700101010101
18323139060,0,5124,20160308060953,300026953,71077264,1,86,118,95655,11,11,,75100800,0,0,4616,0,0,19700101010101
18323246629,0,7057,20160308061005,500000590,89670416,1,86,118,95647,12,12,,75100800,0,0,520,0,0,19700101010101
18323266138,0,7057,20160308061007,500000590,52132505,1,86,118,95647,12,12,,75100800,0,0,520,0,0,19700101010101
18324935591,0,6400,20160308061029,300010753,8889227,18,86,118,95631,5,5,,75100800,0,0,520,0,0,19700101010101
18323131629,0,5548,20160308061030,300011029,10102678,1,86,118,95657,7,7,,75100800,0,0,4616,0,0,19700101010101
18324935556,0,6400,20160308061032,300010753,43804261,1,86,118,95631,5,5,,75100800,0,0,520,0,0,19700101010101
18323304772,0,3312,20160308061112,100004798,49200112,1,86,118,95652,2,2,,75100800,0,0,4872,0,0,19700101010101
18323321917,0,3312,20160308061113,100004798,47686036,1,86,118,95652,2,2,,75100800,0,0,4872,0,0,19700101010101
18324936780,0,6066,20160308061119,16270,49292963,1,86,118,95630,1,1,,75100800,0,0,520,0,0,19700101010101
18323303524,6,48803,20160308061119,300025908,47686036,1,86,118,95652,2,3,,75100800,0,0,4872,0,0,20160308061101
18323320086,6,79797,20160308061125,300030765,6277791,1,0,118,95657,13,6,,75100800,0,0,4872,0,0,20160308054701
18323294563,0,5124,20160308061138,300026953,89896753,1,86,118,95655,10,10,,75100800,0,0,4872,0,0,19700101010101
18323267275,0,7057,20160308061220,500000590,19321744,1,86,118,95647,13,13,,75100800,0,0,520,0,0,19700101010101
18324944140,6,72259,20160308061222,300030754,39525136,1,86,118,95651,1,12,,75100800,0,0,520,0,0,20160308054001
18323318703,0,5124,20160308061232,300026953,2557079,1,86,118,95655,10,10,,75100800,0,0,4872,0,0,19700101010101
18323321417,6,73884,20160308061310,300026948,89896753,1,86,118,95655,10,9,,75100800,0,0,4872,0,0,20160308061101
18323897740,0,5206,20160308061324,300000788,1706036,1,86,118,95639,13,13,,75100800,0,0,520,0,0,19700101010101
18324937102,6,84735,20160308061344,200001076,42057045,18,86,118,95631,4,6,,75100800,0,0,520,0,0,20160308060601
18323307290,0,6547,20160308061408,200002565,82446973,1,86,118,95646,15,15,,75100800,0,0,4872,0,0,19700101010101
18323317866,6,85929,20160308061440,13868,82446973,1,86,118,95646,15,14,,75100800,0,0,4872,0,0,20160308061401
18323297003,0,3312,20160308061459,100004798,16573805,1,86,118,95652,3,3,,75100800,0,0,4872,0,0,19700101010101
18323307934,0,3312,20160308061500,100004798,34395551,1,86,118,95652,3,3,,75100800,0,0,4872,0,0,19700101010101
